登場単語リスト,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,詠唱短縮モードの単語は、タイピング内容が4~5文字程度のものでおねがいします,,,,
,通常モード,,,,,,詠唱短縮モード,,,,
,No.,漢字,読み,タイピング内容,メモ,,No.,漢字,読み,タイピング内容,登場文
,1,運命,ディスティニー,delisutelini-,運命の,,1,罪,シン,sin,罪の
,2,終末,カタストロフ,katasutorohu,終末の,,2,深淵,アビス,abisu,深淵の
,3,黄昏,トワイライト,towairaito,黄昏の,,3,禁忌,タブー,tabuu,禁忌の
,4,理想郷,ユートピア,yu-topia,理想郷の,,4,英雄,ヒーロー,hi-ro-,英雄の
,5,生贄,スケープゴート,suke-pugo-to,生贄の,,5,匣,ハコ,hako,
,6,蜃気楼,ミラージュ,mira-ju,蜃気楼の,,6,破滅,ルイン,ruin,破滅を導く
,7,喧騒,パンデモニウム,pandemoniumu,喧騒の,,7,混沌,カオス,kaosu,混沌の
,8,歪曲,ディストーション,dexisuto-syon,歪曲の,,8,嘘,ライ,rai,嘘つきの
,9,次元,ディメンション,deximensyon,次元の,,9,地獄,ヘル,heru,地獄の
,10,竜騎兵,ドラグーン,doragu-n,竜騎兵の,,10,予兆,オーメン,o-men,予兆の
,11,創世記,ジェネシス,jyenesisu,創世記の,,11,咆哮,ロー,ro-,咆哮する
,12,叙情的,リリカル,ririkaru,叙情的な,,12,閃光,レイ,rei,閃光の
,13,大虐殺,ジェノサイド,jyenosaido,大虐殺の,,13,魂,アニマ,anima,魂の
,14,反逆,リベリオン,riberion,反逆の,,14,命題,テーゼ,te-ze,命題＝
,15,超越,トランセンド,torannsendo,超越せし,,15,理念,イデア,idea,理念＝
,16,覚醒,アラウザル,arauzaru,覚醒せし,,16,空虚,ヴォイド,voido,空虚の
,17,贋（まやかし）,デセプション,desepusyon,贋の,,17,愛,アモー,amo-,愛ある
,18,憂鬱,メランコリー,merannkori-,憂鬱な,,18,月,ルナ,runa,月の
,19,処罰,パニッシュメント,panissyumento,処罰の,,19,女神,デア,dea,女神の
,20,聖域,サンクチュアリ,sannkutyuari,聖域の,,20,邪悪,イビル,ibiru,邪悪な
,21,禁欲,アブスティネンス,abusutexinennsu,禁欲の,,21,静脈,ヴェイン,vein,
,22,重力,グラビティ,gurabitexi,重力の,,22,怒り,レイジ,reiji,怒りの
,23,超新星,スーパーノヴァ,su-pa-nova,超新星の,,23,悪党,ローグ,ro-gu,悪党の
,24,火球,ボーライド,bo-raido,火球の,,24,後悔,ロイエ,roie,後悔の
,25,銀河,ギャラクシー,gyarakusi-,銀河の,,25,武勇,ヴァラー,vara-,武勇の
,26,無限,インフィニティ,innhuxinitexi,無限の,,26,独奏曲,アリア,aria,独奏曲を奏でる
,27,悪夢,ナイトメア,naitomea,悪夢の,,27,楽園,エデン,eden,楽園の
,28,偏執症,パラノイア,paranoia,偏執症の,,28,冒険談,サガ,saga,冒険談
,29,死霊使い,ネクロマンサー,nekuromannsa-,死霊使いの,,29,灰,アッシュ,assyu,灰に塗れた
,30,歌姫,ディーヴァ,dexi-va,歌姫の,,30,畏怖,オー,o-,畏怖されし
,31,本能,インスティンクト,innsutexinnkuto,本能の,,31,原子,アトム,atomu,原子の
,32,操り人形,マリオネット,marionetto,操り人形の,,32,闇,ダーク,da-ku,闇の
,33,厭世家,ペシミスト,pesimisuto,厭世家の,,33,刃,エッジ,ezzi,刃の
