No.,漢字,読み,タイピング内容,メモ
1,運命,ディスティニー,delisutelini-,運命の
2,終末,カタストロフ,katasutorohu,終末の
3,黄昏,トワイライト,towairaito,黄昏の
4,理想郷,ユートピア,yu-topia,理想郷の
5,生贄,スケープゴート,suke-pugo-to,生贄の
6,蜃気楼,ミラージュ,mira-ju,蜃気楼の
7,喧騒,パンデモニウム,pandemoniumu,喧騒の
8,歪曲,ディストーション,dexisuto-syon,歪曲の
9,次元,ディメンション,deximensyon,次元の
10,竜騎兵,ドラグーン,doragu-n,竜騎兵の
11,創世記,ジェネシス,jyenesisu,創世記の
12,叙情的,リリカル,ririkaru,叙情的な
13,大虐殺,ジェノサイド,jyenosaido,大虐殺の
14,反逆,リベリオン,riberion,反逆の
15,超越,トランセンド,torannsendo,超越せし
16,覚醒,アラウザル,arauzaru,覚醒せし
17,贋（まやかし）,デセプション,desepusyon,贋の
18,憂鬱,メランコリー,merannkori-,憂鬱な
19,処罰,パニッシュメント,panissyumento,処罰の
20,聖域,サンクチュアリ,sannkutyuari,聖域の
21,禁欲,アブスティネンス,abusutexinennsu,禁欲の
22,重力,グラビティ,gurabitexi,重力の
23,超新星,スーパーノヴァ,su-pa-nova,超新星の
24,火球,ボーライド,bo-raido,火球の
25,銀河,ギャラクシー,gyarakusi-,銀河の
26,無限,インフィニティ,innhuxinitexi,無限の
27,悪夢,ナイトメア,naitomea,悪夢の
28,偏執症,パラノイア,paranoia,偏執症の
29,死霊使い,ネクロマンサー,nekuromannsa-,死霊使いの
30,歌姫,ディーヴァ,dexi-va,歌姫の
31,本能,インスティンクト,innsutexinnkuto,本能の
32,操り人形,マリオネット,marionetto,操り人形の
33,厭世家,ペシミスト,pesimisuto,厭世家の
34,転移,プロビデンス,purobidennsu,転移せし
35,絶対,アブソリュート,abusoryu-to,絶対の
36,幻影,ファントム,huxanntomu,幻影の
37,不滅,イモータル,imo-taru,不滅の
38,究極,アルティメット,aruteximetto,究極の
39,狂気,マッドネス,maddonesu,狂気の
40,霹靂,サンダクラップ,sandakurappu,霹靂の
41,慟哭,ラメンテーション,ramennte-syonn,慟哭の
42,朧月,へージームーン,he-ji-m-n,朧月の
43,驟雨,サデンシャワー,sadensyawa-,驟雨の
44,彗星,コメット,kometto,彗星の
45,日蝕,ソーラーエクリプス,so-ra-ekuripusu,日蝕の
46,傀儡,パペット,papetto,傀儡の
47,不屈,フォーティトユード,huxo-texitoyu-do,不屈の
48,不突合,インコンシステンシー,innkonnsisutennsi-,不突合
49,菩薩,ボーディサトワ,bo-dexisatowa,菩薩の
50,終焉,デマイズ,demaizu,終焉の
51,刹那,モーメント,mo-mennto,刹那の
52,殺戮,マサカー,masaka-,殺戮の
53,煉獄,パーガトリー,pa-gatori-,煉獄の
54,慈悲,マーシー,ma-si-,慈悲深き
55,復讐,リベンジ,ribennji,復讐の
56,使徒,アポストル,aposutoru,使徒たる
57,恍惚,トランス,toransu,恍惚の
58,懺悔,レペンタンス,repenntannsu,懺悔の
59,輪廻,サムサーラー,samusa-ra-,輪廻の
60,叡智,ウィズダム,uxizudamu,叡智の
61,冥府,シーオール,si-o-ru,冥府の
62,情念,パトス,patosu,情念の
63,理性,ロゴス,rogosu,理性の
64,隣人愛,アガペー,agape-,隣人愛の
65,先天的,アプリオリ,apuriori,先天的な
66,仮面,ペルソナ,perusona,仮面の
67,二律背反,アンチノミー,anntinomi-,二律背反の
68,逆説,パラドックス,paradokkusu,逆説の
69,救世主,メシア,mesia,救世主の
70,鎮魂歌,レクイエム,rekuiemu,鎮魂歌を唄う
71,黙示録,アポカリプス,apokaripusu,黙示録の
72,世界樹,ユグドラシル,yugudorasiru,世界樹の
73,大言壮語,ブラギング,buraginngu,大言壮語な
74,羅刹,ラクシャサー,rakusyasa-,羅刹たる
75,夜叉,ヤクシャー,yakusya-,夜叉たる
76,暗黒物質,ダークマター,da-kumata-,暗黒物質の
77,深紅色,クリムゾン,kurimuzon,深紅色の
78,存在価値,レゾンデートル,rezonnde-toru,存在価値を問う
79,奮起,スターリング,suta-rinngu,
80,王殺し,レジサイド,rejisaido,王殺しの
81,有罪,ギルティ,girutexi,有罪の
82,破壊,デストラクション,desutorakusyon,破壊の
83,天変地異,カタクリズム,katakurizumu,天変地異を纏う
84,呪い,マラディクション,maradexikusyon,呪いの
85,暗殺者,アサシン,asasin,暗殺者の
86,存在,イグジステンス,igujisutennsu,存在せし
87,絶命,アナイアレーション,anaiare-syon,絶命の
88,絆,ウィンクルム,uxinnkurumu,絆の
89,仲間,アミクス,amikusu,仲間たる
90,悲しみ,トリスティーティア,torisutexi-texia,悲しみの
91,騎士,イークウェス,i-kuuxesu,騎士たる
92,女王,レジーナ,reji-na,女王たる
93,森,シルバ,siruba,森の
94,天気,テンペスタース,tennpesuta-su,天気の
95,天体,アストラム,asutoramu,天体の
96,心,アニムス,animusu,心の
97,始まり,イニティウム,initexiumu,始まりの
98,共感覚,シナスタジア,sinasutajia,共感覚の
99,予感,プリーモニション,puri-monisyonn,予感せし
100,別人格,アルターエゴ,aruta-ego,別人格の
101,報復,レトリビューション,retoribyu-syonn,報復の
102,進化,エヴォリューション,evoryu-syon,進化せし
103,蟲毒,エンベノメーション,ennbenome-syon,蠱毒の
104,処罰,パニッシュメント,panissyumennto,処罰の
105,正義,ジャスティス,jyasutexisu,正義の
106,審判,ジャッジメント,jyajjimennto,審判の
107,烏,レイヴン,reivunn,”烏”の
108,案山子,スケアクロウ,sukeakurou,”案山子”の
109,皇帝,エンペラー,ennpera-,皇帝の
110,地平線,ホライズン,horaizun,地平線の
111,匿名,アノニマス,anonimasu,匿名の
112,請負人,アンダーテイカー,annda-teika-,”請負人”の
113,未知,アンノウン,annnoun,未知の
114,無制限,アンリミテッド,annrimiteddo,無制限の
115,点火,イグナイト,igunaito,点火する
116,違法,イリーガル,iri-garu,違法の
117,不可逆,イリバーシブル,iriba-siburu,不可逆の
118,自警団,ヴィジランテ,vijirannte,自警団の
119,残滓,ヴェスティージ,vesutexi-ji,残滓の
120,追放者,エグザイル,eguzairu,追放者の
121,強化,エンハンス,ennhannsu,強化されし
122,胎児,エンブリオ,ennburio,胎児の
123,神託,オラクル,orakuru,神託を告げる
124,守護者,ガーディアン,ga-dexiann,守護者たる
125,追走曲,カノン,kanonn,追走曲を奏でる
126,災難,カラミティ,karamitexi,災難を振り撒く
127,万華鏡,カレイドスコープ,kareidosuo-pu,万華鏡の
128,五重奏団,クインテット,kuinntetto,五重奏団の
129,暴食,グラトニー,guratoni-,暴食の
130,冷笑,デリジョン,derijyonn,冷笑の
131,年代記,クロニクル,kuronikuru,年代記の
132,死骸,コープス,ko-pusu,死骸の
133,征服,コンクエスト,konnkuesuto,征服せし
134,暗号,サイファー,saihuxa-,暗号の
135,衛星,サテライト,sateraito,”衛星”の
136,執念,テナシティー,tenasitexi-,執念の
137,弱音,コンプレーント,konnpure-nnto,弱音の
138,強制,エンフォースメント,ennhuxo-sumennto,強制せし
139,摩天楼,スカイスクレイパー,sukaisukureipa-,摩天楼の
140,夢想家,スターゲイザー,suta-geiza-,夢想家の
141,烙印,スティグマ,sutexiguma,烙印の
142,精神,スピリット,supiritto,精神の
143,黄道,ゾディアック,zodexiakku,黄道の
144,孤独,ソリチュード,sorityu-do,孤独の
145,絶対君主,タイラント,tairannto,絶対君主の
146,無法者,デスペラード,desupera-do,無法者の
147,凱旋,トライアンフ,toraiannhu,凱旋せし
148,悲劇,トラジェディ,torajyedexi,悲劇の
149,氾濫,フラッド,huraddo,氾濫の
150,天罰,ネメシス,nemesisu,天罰を下す
151,夜想曲,ノクターン,nokuta-nn,夜想曲を奏でる
152,郷愁,ノスタルジア,nosutarujia,郷愁の
153,破裂,バースト,ba-suto,破裂の
154,黒幕,フィクサー,huxikusa-,黒幕の
155,断章,フラグメント,huragumennto,断章の
156,凶暴,ベルセルク,beruseruku,凶暴な
157,戦慄,シャダー,syada-,戦慄の
158,渦,ボルテックス,vorutekkuxu,渦たる
159,空洞,ホロウ,horou,空洞の
160,母体,マトリックス,matorikkusu,母体たる
161,渦潮,メイルシュトローム,meirusyutoro-mu,渦潮を招く
162,抑圧,オプレッション,opuressyonn,抑圧されし
163,有能,ケーパブル,ke-paburu,有能たる
164,堕落,モルダー,moruda-,堕落せし
165,斉唱,ユニゾン,yunizonn,斉唱せし
166,電光石火,ライトニング,raitoninngu,電光石火
167,再起動,リブート,ribu-to,再起動の
168,精神錯乱,ルナティック,runatexikku,精神錯乱を招く
169,軍団,レギオン,region,軍団の
170,共鳴,レゾナンス,rezonannsu,共鳴せし
171,革命,レボリューション,reboryu-syonn,革命たる
172,追憶,レミニセンス,reminisennsu,追憶の
173,諧謔曲,スケルツォ,sukerutuxo,諧謔曲（かいぎゃくきょく）を奏でる
174,譚詩曲,バラード,bara-do,譚詩曲（たんしきょく）を奏でる
175,間奏曲,インテルメッツォ,innterumettuxo,間奏曲を奏でる
176,奇想曲,カプリッチョ,kapurittyo,奇想曲を奏でる
177,狂詩曲,ラプソディー,rapusodexi-,狂詩曲を奏でる
178,前奏曲,プレリュード,pureryu-do,前奏曲を奏でる
179,即興曲,アンプロンプチュ,annpuronnputyu,即興曲を奏でる
180,練習曲,エチュード,etyu-do,練習曲を奏でる
181,舟歌,バルカロール,barukaro-ru,方舟を導く
182,欺き,ディセプション,dexisepusyonn,欺く
183,迷える子羊,ストレイシープ,sutoreisi-pu,迷える子羊の
184,残像,アフタリミッジ,ahutarimijji,残像の
185,顕現,マニフェステーション,manihuxesute-syonn,顕現せし
186,征服者,コンキスタドール,konnkisutado-ru,征服者たる
187,強欲,アヴァリティア,avaritexia,強欲の
188,傲慢,スペルビア,superubia,傲慢の
189,ワルプルギスの夜,ヘクセンナハト,hekusennnahato,ワルプルギスの夜の
190,安らかに眠れ,レクィエスカトインパーケ,rekuxiesukatoinnpa-ke,安らかに眠りし
191,警戒,ビジランス,bijirannsu,警戒する
192,監視,サーベーランス,sa-be-rannsu,監視する
193,反物質,アタイマター,ataimata-,反物質の
194,突破,ブレイクスルー,bureikusuru-,突破する
195,興奮,アジテーション,ajite-syonn,興奮する
196,涅槃,ニルヴァーナ,niruva-na,涅槃の
197,聖杯,ホーリーグレイル,ho-ri-gureiru,聖杯持ちし
198,護符,アミュレット,amyuretto,護符の
199,隠者,ハーミット,ha-mitto,隠者の
200,異端,ヘテロドックス,heterodokkusu,異端の
