No.,漢字,読み,タイピング内容,メモ,,,
1,運命,でぃすてぃにー,delisutelini-,運命の,,,ディスティニー
2,終末,かたすとろふ,katasutorohu,終末の,,,カタストロフ
3,黄昏,とわいらいと,towairaito,黄昏の,,,トワイライト
4,理想郷,ゆーとぴあ,yu-topia,理想郷の,,,ユートピア
5,生贄,すけーぷごーと,suke-pugo-to,生贄の,,,スケープゴート
6,蜃気楼,みらーじゅ,mira-ju,蜃気楼の,,,ミラージュ
7,喧騒,ぱんでもにうむ,pandemoniumu,喧騒の,,,パンデモニウム
8,歪曲,でぃすとーしょん,dexisuto-syon,歪曲の,,,ディストーション
9,次元,でぃめんしょん,deximensyon,次元の,,,ディメンション
10,竜騎兵,どらぐーん,doragu-n,竜騎兵の,,,ドラグーン
11,創世記,じぇねしす,jyenesisu,創世記の,,,ジェネシス
12,叙情的,りりかる,ririkaru,叙情的な,,,リリカル
13,大虐殺,じぇのさいど,jyenosaido,大虐殺の,,,ジェノサイド
14,反逆,りべりおん,riberion,反逆の,,,リベリオン
15,超越,とらんせんど,torannsendo,超越せし,,,トランセンド
16,覚醒,あらうざる,arauzaru,覚醒せし,,,アラウザル
17,贋（まやかし）,でせぷしょん,desepusyon,贋の,,,デセプション
18,憂鬱,めらんこりー,merannkori-,憂鬱な,,,メランコリー
19,処罰,ぱにっしゅめんと,panissyumento,処罰の,,,パニッシュメント
20,聖域,さんくちゅあり,sannkutyuari,聖域の,,,サンクチュアリ
21,禁欲,あぶすてぃねんす,abusutexinennsu,禁欲の,,,アブスティネンス
22,重力,ぐらびてぃ,gurabitexi,重力の,,,グラビティ
23,超新星,すーぱーのヴぁ,su-pa-nova,超新星の,,,スーパーノヴァ
24,火球,ぼーらいど,bo-raido,火球の,,,ボーライド
25,銀河,ぎゃらくしー,gyarakusi-,銀河の,,,ギャラクシー
26,無限,いんふぃにてぃ,innhuxinitexi,無限の,,,インフィニティ
27,悪夢,ないとめあ,naitomea,悪夢の,,,ナイトメア
28,偏執症,ぱらのいあ,paranoia,偏執症の,,,パラノイア
29,死霊使い,ねくろまんさー,nekuromannsa-,死霊使いの,,,ネクロマンサー
30,歌姫,でぃーヴぁ,dexi-va,歌姫の,,,ディーヴァ
31,本能,いんすてぃんくと,innsutexinnkuto,本能の,,,インスティンクト
32,操り人形,まりおねっと,marionetto,操り人形の,,,マリオネット
33,厭世家,ぺしみすと,pesimisuto,厭世家の,,,ペシミスト
34,転移,ぷろびでんす,purobidennsu,転移せし,,,プロビデンス
35,絶対,あぶそりゅーと,abusoryu-to,絶対の,,,アブソリュート
36,幻影,ふぁんとむ,huxanntomu,幻影の,,,ファントム
37,不滅,いもーたる,imo-taru,不滅の,,,イモータル
38,究極,あるてぃめっと,aruteximetto,究極の,,,アルティメット
39,狂気,まっどねす,maddonesu,狂気の,,,マッドネス
40,霹靂,さんだくらっぷ,sandakurappu,霹靂の,,,サンダクラップ
41,慟哭,らめんてーしょん,ramennte-syonn,慟哭の,,,ラメンテーション
42,朧月,へーじーむーん,he-ji-m-n,朧月の,,,へージームーン
43,驟雨,さでんしゃわー,sadensyawa-,驟雨の,,,サデンシャワー
44,彗星,こめっと,kometto,彗星の,,,コメット
45,日蝕,そーらーえくりぷす,so-ra-ekuripusu,日蝕の,,,ソーラーエクリプス
46,傀儡,ぱぺっと,papetto,傀儡の,,,パペット
47,不屈,ふぉーてぃとゆーど,huxo-texitoyu-do,不屈の,,,フォーティトユード
48,不突合,いんこんしすてんしー,innkonnsisutennsi-,不突合,,,インコンシステンシー
49,菩薩,ぼーでぃさとわ,bo-dexisatowa,菩薩の,,,ボーディサトワ
50,終焉,でまいず,demaizu,終焉の,,,デマイズ
51,刹那,もーめんと,mo-mennto,刹那の,,,モーメント
52,殺戮,まさかー,masaka-,殺戮の,,,マサカー
53,煉獄,ぱーがとりー,pa-gatori-,煉獄の,,,パーガトリー
54,慈悲,まーしー,ma-si-,慈悲深き,,,マーシー
55,復讐,りべんじ,ribennji,復讐の,,,リベンジ
56,使徒,あぽすとる,aposutoru,使徒たる,,,アポストル
57,恍惚,とらんす,toransu,恍惚の,,,トランス
58,懺悔,れぺんたんす,repenntannsu,懺悔の,,,レペンタンス
59,輪廻,さむさーらー,samusa-ra-,輪廻の,,,サムサーラー
60,叡智,うぃずだむ,uxizudamu,叡智の,,,ウィズダム
61,冥府,しーおーる,si-o-ru,冥府の,,,シーオール
62,情念,ぱとす,patosu,情念の,,,パトス
63,理性,ろごす,rogosu,理性の,,,ロゴス
64,隣人愛,あがぺー,agape-,隣人愛の,,,アガペー
65,先天的,あぷりおり,apuriori,先天的な,,,アプリオリ
66,仮面,ぺるそな,perusona,仮面の,,,ペルソナ
67,二律背反,あんちのみー,anntinomi-,二律背反の,,,アンチノミー
68,逆説,ぱらどっくす,paradokkusu,逆説の,,,パラドックス
69,救世主,めしあ,mesia,救世主の,,,メシア
70,鎮魂歌,れくいえむ,rekuiemu,鎮魂歌を唄う,,,レクイエム
71,黙示録,あぽかりぷす,apokaripusu,黙示録の,,,アポカリプス
72,世界樹,ゆぐどらしる,yugudorasiru,世界樹の,,,ユグドラシル
73,大言壮語,ぶらぎんぐ,buraginngu,大言壮語な,,,ブラギング
74,羅刹,らくしゃさー,rakusyasa-,羅刹たる,,,ラクシャサー
75,夜叉,やくしゃー,yakusya-,夜叉たる,,,ヤクシャー
76,暗黒物質,だーくまたー,da-kumata-,暗黒物質の,,,ダークマター
77,深紅色,くりむぞん,kurimuzon,深紅色の,,,クリムゾン
78,存在価値,れぞんでーとる,rezonnde-toru,存在価値を問う,,,レゾンデートル
79,奮起,すたーりんぐ,suta-rinngu,,,,スターリング
80,王殺し,れじさいど,rejisaido,王殺しの,,,レジサイド
81,有罪,ぎるてぃ,girutexi,有罪の,,,ギルティ
82,破壊,ですとらくしょん,desutorakusyon,破壊の,,,デストラクション
83,天変地異,かたくりずむ,katakurizumu,天変地異を纏う,,,カタクリズム
84,呪い,まらでぃくしょん,maradexikusyon,呪いの,,,マラディクション
85,暗殺者,あさしん,asasin,暗殺者の,,,アサシン
86,存在,いぐじすてんす,igujisutennsu,存在せし,,,イグジステンス
87,絶命,あないあれーしょん,anaiare-syon,絶命の,,,アナイアレーション
88,絆,うぃんくるむ,uxinnkurumu,絆の,,,ウィンクルム
89,仲間,あみくす,amikusu,仲間たる,,,アミクス
90,悲しみ,とりすてぃーてぃあ,torisutexi-texia,悲しみの,,,トリスティーティア
91,騎士,いーくうぇす,i-kuuxesu,騎士たる,,,イークウェス
92,女王,れじーな,reji-na,女王たる,,,レジーナ
93,森,しるば,siruba,森の,,,シルバ
94,天気,てんぺすたーす,tennpesuta-su,天気の,,,テンペスタース
95,天体,あすとらむ,asutoramu,天体の,,,アストラム
96,心,あにむす,animusu,心の,,,アニムス
97,始まり,いにてぃうむ,initexiumu,始まりの,,,イニティウム
98,共感覚,しなすたじあ,sinasutajia,共感覚の,,,シナスタジア
99,予感,ぷりーもにしょん,puri-monisyonn,予感せし,,,プリーモニション
100,別人格,あるたーえご,aruta-ego,別人格の,,,アルターエゴ
101,報復,れとりびゅーしょん,retoribyu-syonn,報復の,,,レトリビューション
